activity_start_end,activity_type,start,end,duration,description
Project_2024-04-19T12:16:03Z_2024-04-19T13:55:13Z,Project,2024-04-19T12:16:03Z,2024-04-19T13:55:13Z,1.65,time entries redux
Project_2024-04-19T13:55:29Z_2024-04-19T14:22:32Z,Project,2024-04-19T13:55:29Z,2024-04-19T14:22:32Z,0.45,setup X220
Study_2024-04-20T11:36:53Z_2024-04-20T14:00:00Z,Study,2024-04-20T11:36:53Z,2024-04-20T14:00:00Z,2.39,stack and heap memory
Study_2024-04-20T14:00:00Z_2024-04-20T14:26:24Z,Study,2024-04-20T14:00:00Z,2024-04-20T14:26:24Z,0.44,bitwise operators
Project_2024-04-21T14:05:49Z_2024-04-21T17:07:15Z,Project,2024-04-21T14:05:49Z,2024-04-21T17:07:15Z,3.02,activities integration
Project_2024-04-21T17:15:54Z_2024-04-21T17:35:58Z,Project,2024-04-21T17:15:54Z,2024-04-21T17:35:58Z,0.33,waybar tweaks
Project_2024-04-22T15:47:38Z_2024-04-22T16:52:44Z,Project,2024-04-22T15:47:38Z,2024-04-22T16:52:44Z,1.08,parse time entry dates script
Blogging_2024-04-23T15:00:00Z_2024-04-23T16:21:04Z,Blogging,2024-04-23T15:00:00Z,2024-04-23T16:21:04Z,1.35,N2T unit two
Project_2024-04-23T16:21:21Z_2024-04-23T17:41:21Z,Project,2024-04-23T16:21:21Z,2024-04-23T17:41:21Z,1.33,parse time entry dates script
Blogging_2024-04-24T16:15:24Z_2024-04-24T17:46:34Z,Blogging,2024-04-24T16:15:24Z,2024-04-24T17:46:34Z,1.52,N2T unit two
Project_2024-04-25T15:00:00Z_2024-04-25T17:46:21Z,Project,2024-04-25T15:00:00Z,2024-04-25T17:46:21Z,2.77,sys obs style tweaks
Project_2024-04-25T17:59:41Z_2024-04-25T18:17:55Z,Project,2024-04-25T17:59:41Z,2024-04-25T18:17:55Z,0.3,sys obs style tweaks
Project_2024-04-26T06:55:16Z_2024-04-26T07:46:44Z,Project,2024-04-26T06:55:16Z,2024-04-26T07:46:44Z,0.86,sys obs style tweaks
Project_2024-04-26T08:06:52Z_2024-04-26T14:17:20Z,Project,2024-04-26T08:06:52Z,2024-04-26T14:17:20Z,6.17,parse time entry dates script
Project_2024-04-26T14:57:13Z_2024-04-26T15:16:29Z,Project,2024-04-26T14:57:13Z,2024-04-26T15:16:29Z,0.32,time entries redux
Project_2024-04-26T15:37:56Z_2024-04-26T16:39:01Z,Project,2024-04-26T15:37:56Z,2024-04-26T16:39:01Z,1.02,time entries redux
Study_2024-04-28T10:00:00Z_2024-04-28T13:22:03Z,Study,2024-04-28T10:00:00Z,2024-04-28T13:22:03Z,3.37,procedural notes on recent learning
Study_2024-04-28T16:08:49Z_2024-04-28T16:54:05Z,Study,2024-04-28T16:08:49Z,2024-04-28T16:54:05Z,0.75,procedural notes on recent learning
Gruvbox95 Raleigh fork_2024-04-28T16:54:27Z_2024-04-28T19:20:18Z,Gruvbox95 Raleigh fork,2024-04-28T16:54:27Z,2024-04-28T19:20:18Z,2.43,Project
Blogging_2024-04-29T06:00:00Z_2024-04-29T06:44:52Z,Blogging,2024-04-29T06:00:00Z,2024-04-29T06:44:52Z,0.75,N2T unit two
Project_2024-04-29T15:00:00Z_2024-04-29T17:01:38Z,Project,2024-04-29T15:00:00Z,2024-04-29T17:01:38Z,2.03,extract TimeWarrior time entries script
Project_2024-04-29T17:02:05Z_2024-04-29T17:48:37Z,Project,2024-04-29T17:02:05Z,2024-04-29T17:48:37Z,0.78,sys obs style tweaks
Blogging_2024-04-30T06:00:00Z_2024-04-30T06:54:52Z,Blogging,2024-04-30T06:00:00Z,2024-04-30T06:54:52Z,0.91,N2T unit two
Project_2024-04-30T15:55:27Z_2024-04-30T18:14:52Z,Project,2024-04-30T15:55:27Z,2024-04-30T18:14:52Z,2.32,install xcfe
Blogging_2024-05-02T06:24:14Z_2024-05-02T06:53:51Z,Blogging,2024-05-02T06:24:14Z,2024-05-02T06:53:51Z,0.49,N2T unit two
