activity_start_end,activity_type,start,end,duration,description
Study_2023-09-01T08:00:12Z_2023-09-01T09:45:38Z,Study,2023-09-01T08:00:12Z,2023-09-01T09:45:38Z,1.76,improve python notes
Study_2023-09-04T07:00:28Z_2023-09-04T07:34:28Z,Study,2023-09-04T07:00:28Z,2023-09-04T07:34:28Z,0.57,improve python notes
Project_2023-09-04T07:34:46Z_2023-09-04T08:14:34Z,Project,2023-09-04T07:34:46Z,2023-09-04T08:14:34Z,0.66,save articles lambda
Project_2023-09-04T14:00:00Z_2023-09-04T16:15:00Z,Project,2023-09-04T14:00:00Z,2023-09-04T16:15:00Z,2.25,save articles lambda
Study_2023-09-05T08:00:09Z_2023-09-05T08:45:53Z,Study,2023-09-05T08:00:09Z,2023-09-05T08:45:53Z,0.76,list comprehension in python
Project_2023-09-08T08:00:00Z_2023-09-08T14:30:00Z,Project,2023-09-08T08:00:00Z,2023-09-08T14:30:00Z,6.5,exlibris lambda
Project_2023-09-10T11:15:00Z_2023-09-10T18:30:00Z,Project,2023-09-10T11:15:00Z,2023-09-10T18:30:00Z,7.25,exlibris lambda
Project_2023-09-11T07:15:00Z_2023-09-11T08:15:00Z,Project,2023-09-11T07:15:00Z,2023-09-11T08:15:00Z,1.0,exlibris lambda
Study_2023-09-11T18:16:15Z_2023-09-11T18:41:49Z,Study,2023-09-11T18:16:15Z,2023-09-11T18:41:49Z,0.43,improve python notes
Blogging_2023-09-11T18:42:07Z_2023-09-11T19:27:04Z,Blogging,2023-09-11T18:42:07Z,2023-09-11T19:27:04Z,0.75,systems obscure color scheme
Blogging_2023-09-12T07:00:00Z_2023-09-12T08:15:00Z,Blogging,2023-09-12T07:00:00Z,2023-09-12T08:15:00Z,1.25,systems obscure color scheme
Blogging_2023-09-12T13:33:26Z_2023-09-12T15:00:00Z,Blogging,2023-09-12T13:33:26Z,2023-09-12T15:00:00Z,1.44,systems obscure color scheme
